Voltage A0 A1 A2 A3 A4 A5 A6 A7
8.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
8.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
9.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
9.1000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
9.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
9.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
9.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
9.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
9.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
9.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
9.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
9.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
10.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-10.0000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.9000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.8000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.7000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.6000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.5000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.4000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.3000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
-9.2000 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998 9.9998
MaxError 19.9998 19.8998 19.8998 19.8998 19.8998 19.8998 19.8998 19.8998
MaxError 19.9998
